Pt,Time,Freq,Zreal,Zimag,Zsig,Zmod,Zphz,Idc,Vdc,IERange,,A1-E1
#,s,Hz,ohm,ohm,V,ohm,°,A,V,#,,
38,55,158.3615,145668.6,-104782.3,1,179439.9,-35.72823,1.21E-10,0.0215808,5,,
39,56,125.558,154368.7,-122074.3,1,196804,-38.33684,2.16E-10,0.0215775,5,,
40,57,100.4464,165606.4,-142189.4,1,218273.5,-40.64933,4.70E-11,0.0215755,5,,
41,59,79.00281,178864.5,-165808.3,1,243895.3,-42.83068,2.25E-11,0.0215777,5,,
42,61,63.3446,189221.8,-207322.1,1,280690.8,-47.61346,4.28E-10,0.0215779,5,,
43,62,49.86702,213834.1,-228131.4,1,312680.3,-46.85284,-9.75E-12,0.0215753,5,,
44,64,39.72458,241496.7,-266671.3,1,359769.7,-47.83612,2.32E-10,0.0215774,5,,
45,65,31.6723,269451.1,-311366.9,1,411768.5,-49.1277,4.08E-10,0.021575,5,,
46,66,24.93351,300929,-359388.6,1,468741.3,-50.05935,1.04E-11,0.0215746,5,,
47,68,19.86229,340282.2,-415418.4,1,536995.7,-50.67803,-9.76E-11,0.0215705,5,,
48,69,15.83615,370957.9,-483122.6,1,609111.9,-52.48172,4.64E-10,0.0215722,5,,
49,70,12.40079,425940.3,-571334.5,1,712634.7,-53.2948,5.84E-12,0.0215701,6,,
50,72,9.93114,488208.1,-630586.6,1,797487.6,-52.25251,6.64E-10,0.0215687,6,,
51,74,7.944915,556309.8,-740994.4,1,926581.5,-53.10221,2.57E-10,0.0215732,6,,
52,76,6.317385,627155,-843848.7,1,1051382,-53.37998,-1.84E-11,0.021591,5,,
53,78,5.008013,712838.5,-978245,1,1210414,-53.9195,1.48E-10,0.0215752,4,,
54,81,3.945707,820265.3,-1134785,1,1400204,-54.13918,2.40E-11,0.0215684,4,,
55,83,3.158693,933040.9,-1305590,1,1604722,-54.44848,8.25E-11,0.0215824,4,,
56,86,2.504006,1070700,-1513512,1,1853946,-54.72334,-1.77E-11,0.0215748,4,,
57,89,1.998082,1222544,-1737394,1,2124418,-54.86726,8.09E-11,0.0215358,4,,
58,92,1.584686,1406586,-2012022,1,2454937,-55.04295,2.24E-11,0.0215331,4,,
59,96,1.266892,1601220,-2306731,1,2808009,-55.23351,8.74E-11,0.0215545,4,,
60,100,0.999041,1843353,-2682428,1,3254746,-55.50331,-5.57E-12,0.0215668,4,,
Pt,Time,Freq,Zreal,Zimag,Zsig,Zmod,Zphz,Idc,Vdc,IERange,,A1-E11
#,s,Hz,ohm,ohm,V,ohm,°,A,V,#,,
0,1,1000078,2098.826,-2672.514,1,3398.147,-51.85611,-3.86E-07,0.0165762,8,,
1,3,794390.6,2340.586,-2976.124,1,3786.246,-51.81656,9.83E-07,0.0156353,8,,
2,4,630984.4,2575.209,-3358.093,1,4231.842,-52.51661,4.76E-06,0.0147923,8,,
3,5,501234.4,2797.537,-3873.161,1,4777.822,-54.15988,1.06E-06,0.0152402,8,,
4,7,398109.4,3010.201,-4519.333,1,5430.072,-56.33353,4.31E-06,0.014714,8,,
5,8,316265.6,3281.379,-5363.815,1,6287.922,-58.54328,-2.92E-06,0.0160004,8,,
6,10,251203.1,3627.476,-6417.477,1,7371.743,-60.52271,-4.53E-07,0.0156895,8,,
7,11,199546.9,4135.817,-7746.747,1,8781.633,-61.90323,-9.05E-07,0.0156533,8,,
8,13,158578.1,4766.098,-9408.074,1,10546.45,-63.13338,1.72E-06,0.014962,8,,
9,15,125953.1,5724.608,-11343.77,1,12706.38,-63.2223,9.92E-07,0.0136867,7,,
10,16,100078.1,6940.547,-13625.98,1,15291.78,-63.00746,1.75E-08,0.0153116,7,,
11,18,79453.13,8671.913,-16254.09,1,18422.74,-61.9191,-1.36E-08,0.0154196,7,,
12,19,63140.62,10986.27,-19122.11,1,22053.42,-60.12124,7.07E-08,0.0152282,7,,
13,20,50203.12,13940.68,-22126.22,1,26151.72,-57.78692,6.71E-08,0.0152646,7,,
14,22,39890.62,17500.1,-25046.45,1,30554.51,-55.05777,-4.23E-09,0.0154106,7,,
15,23,31640.63,22090.77,-27850.06,1,35547.54,-51.57842,-3.71E-09,0.0154116,7,,
16,24,25171.88,27048.72,-30219.51,1,40556.78,-48.16908,-1.17E-08,0.0154059,7,,
17,26,20015.62,32608.79,-31970.05,1,45666.37,-44.43332,-1.46E-09,0.0153163,7,,
18,27,15890.62,37982.23,-33397.37,1,50577.01,-41.32482,6.32E-08,0.0153515,7,,
19,28,12609.37,44369.11,-33714.61,1,55725.15,-37.23,1.52E-09,0.015229,6,,
20,30,10078.13,50193.72,-34493.38,1,60903.23,-34.49705,-3.87E-09,0.0153806,6,,
21,31,8015.625,55818.68,-34547,1,65644.66,-31.75397,-1.99E-09,0.0152765,6,,
22,32,6328.125,61234.55,-34055.16,1,70067.28,-29.08031,-4.74E-09,0.0154469,6,,
23,33,5015.625,66510.29,-33682.82,1,74553.01,-26.85903,-9.58E-09,0.0153945,6,,
24,35,3984.375,71569.27,-33444.67,1,78998.15,-25.04692,-4.87E-09,0.0153359,6,,
25,36,3170.956,76242.67,-33018.8,1,83085.41,-23.41624,-5.00E-09,0.0153297,6,,
26,37,2527.573,80498.55,-32856.06,1,86945.6,-22.20318,-5.04E-09,0.0154393,6,,
27,39,1976.103,85018.08,-32985.54,1,91192.76,-21.20539,4.27E-09,0.0153386,6,,
28,40,1577.524,88543.51,-33261.34,1,94584.72,-20.58867,-4.87E-09,0.0154476,6,,
29,42,1265.625,92143.93,-32822.96,1,97815.4,-19.60661,-6.88E-10,0.0153507,5,,
30,43,998.264,96085.5,-34648.56,1,102141.8,-19.82938,-1.07E-09,0.0154206,5,,
31,44,796.875,99525.5,-36874.02,1,106136.8,-20.32957,-4.29E-10,0.0153493,5,,
32,46,627.7902,103750.6,-40069.06,1,111219.2,-21.11684,-1.02E-09,0.0154116,5,,
33,47,505.5147,107368.1,-43861.74,1,115981.8,-22.22087,1.26E-09,0.0151367,5,,
34,48,397.9953,111914.6,-48589.57,1,122007.5,-23.46888,2.35E-10,0.0153224,5,,
35,50,315.5048,115676.6,-54068.52,1,127689,-25.05191,2.36E-11,0.0153214,5,,
36,51,252.4038,120241,-60992.89,1,134825.9,-26.89664,-1.75E-10,0.0153185,5,,
37,52,198.6229,126489.1,-70278.7,1,144701.7,-29.05702,1.61E-10,0.0153178,5,,
38,54,158.3615,132161.5,-80422.13,1,154707.5,-31.32109,-1.41E-10,0.0153141,5,,
39,55,125.558,140230.9,-93444.38,1,168512.8,-33.67793,9.34E-11,0.0153183,5,,
40,56,100.4464,147769,-108136.1,1,183109.5,-36.19633,2.92E-10,0.0153169,5,,
41,58,79.00281,158750.2,-126170.1,1,202782,-38.47666,1.92E-10,0.0153154,5,,
42,59,63.3446,166318.5,-151040.3,1,224666.5,-42.2438,2.66E-10,0.0153183,5,,
43,60,49.86702,179243.7,-170165.9,1,247153.2,-43.51177,-3.40E-11,0.0153134,5,,
44,62,39.72458,194281.7,-204038.2,1,281739.2,-46.40313,2.19E-10,0.0153253,5,,
45,63,31.6723,207160,-238704.8,1,316062.2,-49.04691,-1.01E-11,0.0153161,5,,
46,65,24.93351,229054,-284835.7,1,365509.3,-51.19508,2.30E-10,0.015314,5,,
47,66,19.86229,254286.8,-337687,1,422722.5,-53.01934,3.92E-10,0.0153164,5,,
48,67,15.83615,280693.3,-391421.4,1,481663.2,-54.35522,6.27E-10,0.0153078,5,,
49,69,12.40079,323512.4,-482573.2,1,580979.4,-56.16248,3.68E-10,0.0153165,5,,
50,70,9.93114,362607.7,-560568.6,1,667623.8,-57.10291,3.91E-11,0.0153096,5,,
51,72,7.944915,412573,-658878.5,1,777391.4,-57.94625,-9.66E-11,0.0153165,5,,
52,74,6.317385,480759.5,-769466.3,1,907308.1,-58.00302,4.77E-11,0.015306,5,,
53,76,5.008013,561575.5,-904967.9,1,1065051,-58.17844,-2.35E-11,0.0153072,4,,
54,78,3.945707,658411.7,-1061891,1,1249447,-58.19955,8.94E-11,0.015325,4,,
55,81,3.158693,763920.1,-1228898,1,1446985,-58.13367,7.75E-11,0.0153345,4,,
56,84,2.504006,895013.3,-1431452,1,1688225,-57.98437,-1.67E-11,0.0153115,4,,
57,87,1.998082,1043110,-1652364,1,1954069,-57.73647,2.86E-11,0.0152736,4,,
58,90,1.584686,1215081,-1912856,1,2266151,-57.57554,1.44E-11,0.0153025,4,,
59,93,1.266892,1413317,-2197729,1,2612944,-57.25572,5.85E-11,0.0152723,4,,
60,98,0.999041,1648465,-2546848,1,3033789,-57.08675,1.57E-11,0.0153372,4,,
Pt,Time,Freq,Zreal,Zimag,Zsig,Zmod,Zphz,Idc,Vdc,IERange,,A1-E12
#,s,Hz,ohm,ohm,V,ohm,°,A,V,#,,
0,2,1000078,2009.932,-2634.866,1,3313.962,-52.66285,4.30E-07,0.0277795,8,,
1,3,794390.6,2255.918,-2953.551,1,3716.535,-52.62746,-1.06E-06,0.0274005,8,,
2,5,630984.4,2477.979,-3355.017,1,4170.914,-53.55083,4.70E-07,0.0269029,8,,
3,6,501234.4,2689.173,-3853.513,1,4699.065,-55.09074,1.87E-06,0.026389,8,,
4,7,398109.4,2912.304,-4482.427,1,5345.434,-56.98758,3.95E-06,0.0259898,8,,
5,9,316265.6,3196.533,-5341.441,1,6224.855,-59.10201,-1.83E-07,0.0268675,8,,
6,11,251203.1,3558.939,-6404.318,1,7326.755,-60.93866,5.51E-07,0.0267525,8,,
7,12,199546.9,4002.73,-7730.971,1,8705.731,-62.62702,3.82E-06,0.0259989,8,,
8,14,158578.1,4632.663,-9303.388,1,10393.01,-63.52879,3.02E-08,0.0268528,8,,
9,16,125953.1,5649.595,-11256.13,1,12594.38,-63.34735,-6.98E-08,0.0263543,7,,
10,17,100078.1,6817.929,-13521.06,1,15142.76,-63.2407,9.35E-09,0.0265789,7,,
11,19,79453.13,8467.337,-16136.88,1,18223.46,-62.31312,-8.20E-08,0.026765,7,,
12,20,63140.62,10707.91,-19030.48,1,21836.17,-60.63478,-3.11E-08,0.0266384,7,,
13,21,50203.12,13549.96,-22097.29,1,25920.88,-58.48356,-5.13E-08,0.0266752,7,,
14,23,39890.62,17261.55,-25281.94,1,30612.71,-55.67622,8.39E-08,0.0264782,7,,
15,24,31640.63,21458.72,-28351.33,1,35556.64,-52.87844,-6.64E-08,0.0267668,7,,
16,25,25171.88,26567.32,-30894.99,1,40747.06,-49.307,-5.28E-08,0.0267114,7,,
17,27,20015.62,32118.96,-33146.98,1,46155.71,-45.9024,-5.10E-08,0.026666,7,,
18,28,15890.62,38248.33,-34977.46,1,51830.09,-42.4424,-9.89E-09,0.0266722,7,,
19,30,12609.37,44734.12,-35637.31,1,57194.05,-38.54248,3.18E-09,0.0267048,6,,
20,31,10078.13,50652.17,-35943.84,1,62109.59,-35.36031,-8.33E-09,0.0267318,6,,
21,32,8015.625,56536.23,-36515.52,1,67303.26,-32.85753,1.38E-08,0.0264904,6,,
22,34,6328.125,62408.02,-36549.12,1,72322.88,-30.35528,-5.00E-09,0.0266092,6,,
23,35,5015.625,67833.34,-36186.33,1,76881.81,-28.07811,-7.09E-09,0.0266686,6,,
24,37,3984.375,73098.63,-36206.38,1,81573.96,-26.34961,2.56E-09,0.0266563,6,,
25,38,3170.956,77843.66,-36094.51,1,85804.72,-24.87619,6.94E-09,0.0264266,6,,
26,40,2527.573,82457.59,-36510.2,1,90178.98,-23.88259,-8.44E-09,0.0267187,6,,
27,41,1976.103,86881.1,-37122.85,1,94479.8,-23.13621,-8.44E-09,0.0267912,6,,
28,42,1577.524,91642.52,-38240.8,1,99301.1,-22.64991,-8.94E-09,0.0267257,6,,
29,44,1265.625,96423.2,-38504.99,1,103827.1,-21.76847,1.43E-09,0.0262964,5,,
30,45,998.264,100636.5,-40960.44,1,108652.9,-22.14701,-7.99E-10,0.0265782,5,,
31,46,796.875,104938.7,-44101.4,1,113829.1,-22.79501,-1.93E-10,0.0265811,5,,
32,48,627.7902,109642.1,-48466.29,1,119876.5,-23.84738,-7.03E-10,0.0267401,5,,
33,49,505.5147,114504.9,-53535.61,1,126401.9,-25.05796,-3.76E-10,0.0267469,5,,
34,50,397.9953,119546.6,-59563.79,1,133563.6,-26.48466,2.07E-10,0.0266092,5,,
35,52,315.5048,125321.8,-67066.51,1,142138.9,-28.15366,-2.77E-11,0.0266027,5,,
36,53,252.4038,131678.1,-76340.23,1,152206.9,-30.10297,-4.61E-10,0.026599,5,,
37,54,198.6229,138820.3,-87062.46,1,163862.6,-32.09426,1.54E-10,0.0266014,5,,
38,56,158.3615,147976.2,-100493.5,1,178874,-34.18118,-2.02E-10,0.0265991,5,,
39,57,125.558,157812.2,-115846.4,1,195768,-36.28155,5.22E-11,0.0266012,5,,
40,59,100.4464,168711.3,-132412.8,1,214468.3,-38.12656,1.25E-10,0.0265991,5,,
41,60,79.00281,184560.6,-153827,1,240261,-39.81043,-1.47E-10,0.0266018,5,,
42,62,63.3446,186567.2,-173153.5,1,254537.7,-42.86449,3.83E-10,0.0266023,5,,
43,63,49.86702,221558.3,-207153.5,1,303316.1,-43.07557,-7.48E-11,0.0266024,5,,
44,65,39.72458,237572.8,-238928.9,1,336938.9,-45.16306,-3.22E-11,0.0266021,5,,
45,66,31.6723,258740.3,-275047.5,1,377621,-46.74984,-2.92E-11,0.0266057,5,,
46,68,24.93351,287604.8,-319429.9,1,429827.8,-48.00111,-5.54E-11,0.0266052,5,,
47,69,19.86229,317056.9,-371496.1,1,488399.8,-49.52058,-2.02E-11,0.0265967,5,,
48,70,15.83615,348384.8,-413989.1,1,541072,-49.91834,1.02E-09,0.0265968,5,,
49,72,12.40079,408846.3,-516690.8,1,658881.4,-51.64619,6.17E-10,0.026602,5,,
50,73,9.93114,449877.1,-585867.7,1,738667.9,-52.48,6.35E-10,0.0265929,6,,
51,75,7.944915,491859,-683183.9,1,841822.8,-54.24796,3.06E-10,0.0266009,6,,
52,77,6.317385,563143.4,-796545.6,1,975508,-54.74038,4.86E-10,0.0266098,6,,
53,79,5.008013,652470.8,-923253.9,1,1130538,-54.75085,5.70E-11,0.0266096,4,,
54,82,3.945707,753694.8,-1082820,1,1319301,-55.16022,-1.26E-11,0.0265958,4,,
55,84,3.158693,866256.3,-1246785,1,1518181,-55.20873,2.61E-11,0.0265888,4,,
56,87,2.504006,999337,-1445241,1,1757099,-55.33741,9.97E-11,0.026603,4,,
57,90,1.998082,1153248,-1662492,1,2023329,-55.25148,8.47E-11,0.0266364,4,,
58,93,1.584686,1326142,-1914572,1,2329000,-55.29131,6.43E-11,0.0265909,4,,
59,97,1.266892,1520084,-2201751,1,2675511,-55.37888,4.08E-11,0.0266397,4,,
60,101,0.999041,1762685,-2534767,1,3087410,-55.18513,4.14E-11,0.0265634,4,,
Pt,Time,Freq,Zreal,Zimag,Zsig,Zmod,Zphz,Idc,Vdc,IERange,,A1-E13
#,s,Hz,ohm,ohm,V,ohm,°,A,V,#,,
0,2,1000078,2043.315,-2972.896,1,3607.387,-55.49869,-1.77E-06,0.007608,8,,
1,4,794390.6,2305.198,-3335.045,1,4054.191,-55.3476,-1.28E-06,0.0079275,8,,
2,5,630984.4,2554.167,-3801.601,1,4579.95,-56.10418,-7.06E-07,0.0078348,8,,
3,7,501234.4,2777.171,-4387.273,1,5192.383,-57.66593,1.71E-06,0.0071978,8,,
4,8,398109.4,3039.862,-5182.904,1,6008.598,-59.60765,-3.89E-06,0.0082799,8,,
5,9,316265.6,3318.521,-6166.544,1,7002.774,-61.71312,6.16E-07,0.0072778,8,,
6,11,251203.1,3754.514,-7392.132,1,8290.959,-63.07368,1.56E-06,0.0071367,8,,
7,13,199546.9,4201.166,-8954.997,1,9891.5,-64.86675,4.86E-07,0.0072773,8,,
8,14,158578.1,4944.311,-10802.11,1,11879.89,-65.40561,1.68E-06,0.0071037,8,,
9,16,125953.1,6101.354,-13243.57,1,14581.45,-65.26432,2.16E-07,0.0068794,7,,
10,18,100078.1,7393.929,-15886.14,1,17522.54,-65.04118,-4.72E-08,0.0074874,7,,
11,19,79453.13,9362.063,-19088.13,1,21260.4,-63.87365,-2.79E-08,0.0074169,7,,
12,20,63140.62,11970.66,-22567.04,1,25545.41,-62.05634,-2.77E-08,0.0074146,7,,
13,21,50203.12,15351.68,-26317.48,1,30467.75,-59.74386,-8.80E-09,0.0074885,7,,
14,23,39890.62,19560.91,-30266.6,1,36037.43,-57.12594,-6.05E-09,0.007423,7,,
15,24,31640.63,25077.37,-33630.62,1,41951.09,-53.28918,3.67E-08,0.007262,7,,
16,25,25171.88,31199.1,-36806.9,1,48250.72,-49.71397,-5.82E-09,0.0074173,7,,
17,27,20015.62,37979.55,-39089.14,1,54501.45,-45.82485,-2.72E-08,0.0074037,7,,
18,28,15890.62,45371.07,-40155.86,1,60589,-41.51057,-3.45E-09,0.0074034,7,,
19,30,12609.37,53105.2,-41553.5,1,67430.38,-38.0423,-2.62E-09,0.0072462,6,,
20,31,10078.13,60280.11,-42135.94,1,73546.79,-34.95364,-4.42E-09,0.0074556,6,,
21,32,8015.625,66849.44,-41618,1,78745.83,-31.90487,1.41E-08,0.0071418,6,,
22,34,6328.125,73553.34,-40951.68,1,84185.11,-29.10738,-5.07E-09,0.007345,6,,
23,35,5015.625,79668.38,-40257.64,1,89262.13,-26.80816,-3.72E-09,0.0073951,6,,
24,36,3984.375,85227.67,-39628.27,1,93990.19,-24.93699,1.43E-08,0.0070366,6,,
25,38,3170.956,90286.88,-39106.66,1,98392.3,-23.41926,-2.37E-09,0.0072456,6,,
26,39,2527.573,95168.1,-39014.19,1,102854.6,-22.29119,-2.74E-09,0.0072356,6,,
27,40,1976.103,100316.7,-39240.45,1,107718.4,-21.36374,-4.72E-09,0.0073581,6,,
28,42,1577.524,104637.4,-40277.16,1,112121.5,-21.05278,-1.65E-09,0.0073044,6,,
29,43,1265.625,109578.4,-40463.4,1,116810.6,-20.26739,-7.29E-10,0.0073551,5,,
30,44,998.264,114377.9,-42857.04,1,122143.5,-20.54082,1.19E-09,0.0070478,5,,
31,46,796.875,118935,-45650.61,1,127395.1,-20.99821,-6.19E-10,0.0072639,5,,
32,47,627.7902,123960.7,-49621.43,1,133523.6,-21.8162,2.09E-10,0.0071655,5,,
33,48,505.5147,128297.3,-54046.7,1,139216.5,-22.84382,3.75E-10,0.007173,5,,
34,50,397.9953,134054.4,-59762.47,1,146772.4,-24.02768,-1.37E-10,0.0073339,5,,
35,51,315.5048,139756.2,-66882.34,1,154935.6,-25.57413,3.48E-10,0.0073334,5,,
36,52,252.4038,145592.8,-75292.69,1,163909.3,-27.34555,1.21E-10,0.0073318,5,,
37,54,198.6229,152602.5,-86103.19,1,175217.8,-29.43307,1.40E-10,0.0073292,5,,
38,55,158.3615,160623.8,-98688.3,1,188519,-31.56684,3.14E-11,0.0073319,5,,
39,56,125.558,169084.9,-114137.6,1,204002.7,-34.02057,-7.87E-12,0.0073253,5,,
40,58,100.4464,179926.2,-132669.7,1,223550.2,-36.40343,-1.74E-10,0.0073323,5,,
41,59,79.00281,190898.8,-154075.5,1,245319.4,-38.90718,-1.56E-10,0.0073267,5,,
42,60,63.3446,212822.8,-182803,1,280553.9,-40.66076,-7.77E-12,0.0073273,5,,
43,62,49.86702,218695.9,-209547.5,1,302882.9,-43.7762,-1.28E-10,0.0073301,5,,
44,63,39.72458,244520.3,-245262.7,1,346329.3,-45.08685,7.38E-11,0.0073335,5,,
45,65,31.6723,266693.6,-285582.7,1,390746.7,-46.95889,2.04E-10,0.007327,5,,
46,66,24.93351,293954,-334160.6,1,445053.1,-48.6626,1.84E-10,0.0073258,5,,
47,67,19.86229,327063.1,-390912.8,1,509689.2,-50.08196,-8.39E-11,0.0073261,5,,
48,69,15.83615,353230.5,-446470.9,1,569304.9,-51.65032,-3.90E-10,0.0073234,5,,
49,70,12.40079,416607.5,-540585.5,1,682491.4,-52.38,-2.59E-10,0.0073271,5,,
50,71,9.93114,455996.6,-625400.6,1,773988.9,-53.90319,8.20E-11,0.0073273,5,,
51,73,7.944915,506105.8,-732130,1,890032.3,-55.34473,3.68E-10,0.0073258,5,,
52,75,6.317385,586995.1,-850785.6,1,1033634,-55.39647,1.37E-10,0.0073164,4,,
53,77,5.008013,674385.8,-995521,1,1202438,-55.88549,-3.40E-12,0.0073217,4,,
54,79,3.945707,778200.5,-1167034,1,1402699,-56.30389,1.07E-10,0.0073366,4,,
55,82,3.158693,897056.3,-1350451,1,1621243,-56.40534,2.30E-11,0.0073324,4,,
56,85,2.504006,1042282,-1568987,1,1883633,-56.40381,8.49E-11,0.0073224,4,,
57,88,1.998082,1202575,-1812087,1,2174821,-56.43012,-1.47E-11,0.007333,4,,
58,91,1.584686,1403789,-2093903,1,2520923,-56.16142,3.91E-11,0.0073766,4,,
59,95,1.266892,1620080,-2409086,1,2903163,-56.07966,1.85E-11,0.0073124,4,,
60,99,0.999041,1885105,-2783166,1,3361493,-55.88927,4.99E-11,0.0073633,4,,
Pt,Time,Freq,Zreal,Zimag,Zsig,Zmod,Zphz,Idc,Vdc,IERange,,A1-E14
#,s,Hz,ohm,ohm,V,ohm,°,A,V,#,,
0,2,1000078,1937.432,-2907.612,1,3493.973,-56.32325,-8.76E-07,-0.0027899,8,,
1,3,794390.6,2201.879,-3292.854,1,3961.207,-56.22999,-1.19E-06,-0.002603,8,,
2,5,630984.4,2423.26,-3767.38,1,4479.435,-57.25,6.55E-07,-0.0031133,8,,
3,6,501234.4,2666.38,-4358.752,1,5109.628,-58.54462,-2.73E-06,-0.0027033,8,,
4,7,398109.4,2975.869,-5123.481,1,5925.02,-59.85072,4.47E-06,-0.0042627,8,,
5,9,316265.6,3266.081,-6109.224,1,6927.475,-61.87038,-2.43E-06,-0.0028454,8,,
6,11,251203.1,3677.804,-7312.076,1,8184.907,-63.29867,-2.37E-06,-0.002882,8,,
7,12,199546.9,4194.678,-8825.026,1,9771.2,-64.57751,3.16E-07,-0.0033496,8,,
8,14,158578.1,4946.595,-10718.59,1,11804.95,-65.22682,-2.21E-07,-0.0033191,8,,
9,16,125953.1,5994.104,-12889.36,1,14214.95,-65.05956,3.40E-07,-0.0038338,7,,
10,17,100078.1,7379.849,-15472.49,1,17142.35,-64.50045,1.21E-07,-0.0035779,7,,
11,18,79453.13,9279.181,-18509.19,1,20704.91,-63.3741,8.66E-08,-0.0035872,7,,
12,20,63140.62,11751.69,-21808.89,1,24773.57,-61.68207,-4.86E-08,-0.0032863,7,,
13,21,50203.12,15157.38,-25356.78,1,29541.71,-59.13051,4.24E-08,-0.0035624,7,,
14,22,39890.62,19047.14,-29131.42,1,34805.65,-56.82194,-1.42E-08,-0.0033909,7,,
15,24,31640.63,24352.13,-32438.53,1,40562.11,-53.10386,7.17E-08,-0.0035283,7,,
16,25,25171.88,30128.44,-35387.63,1,46475.88,-49.58948,5.86E-08,-0.0034921,7,,
17,26,20015.62,36568.42,-37953.16,1,52703.81,-46.06453,7.18E-08,-0.0035304,7,,
18,28,15890.62,43228.82,-39279.63,1,58409.07,-42.25969,-1.81E-08,-0.0033844,7,,
19,29,12609.37,50962.5,-40249.29,1,64939.83,-38.30106,5.17E-09,-0.0034585,6,,
20,30,10078.13,57575.61,-41039.36,1,70704.88,-35.48092,4.58E-09,-0.003458,6,,
21,32,8015.625,64309.21,-40893.2,1,76209.76,-32.45163,2.27E-09,-0.0034215,6,,
22,33,6328.125,70775.27,-40650.01,1,81618.4,-29.87105,-3.85E-09,-0.0035588,6,,
23,35,5015.625,77111.24,-40459.38,1,87081.03,-27.68548,2.51E-09,-0.0033901,6,,
24,36,3984.375,82835.13,-40327.84,1,92130.3,-25.95889,1.50E-08,-0.003595,6,,
25,37,3170.956,88385.45,-40120.64,1,97065.2,-24.41464,1.45E-08,-0.0036017,6,,
26,39,2527.573,93200.48,-40090.43,1,101457.2,-23.27509,1.48E-08,-0.0036007,6,,
27,40,1976.103,98556.8,-40383.32,1,106509.4,-22.2812,1.48E-08,-0.0035935,6,,
28,41,1577.524,103338.1,-41582.3,1,111390.6,-21.9194,-1.21E-08,-0.0033492,6,,
29,43,1265.625,108892.4,-41134.57,1,116402.8,-20.69427,4.17E-10,-0.0034042,5,,
30,44,998.264,113737,-43712.35,1,121847.8,-21.02317,1.20E-09,-0.0033935,5,,
31,45,796.875,118548.5,-46559.22,1,127363.6,-21.44213,-6.14E-10,-0.0034958,5,,
32,47,627.7902,123192.9,-50330.86,1,133077.8,-22.22263,1.68E-09,-0.003787,5,,
33,48,505.5147,128459.4,-54839.14,1,139675.2,-23.11756,-4.21E-10,-0.0034422,5,,
34,49,397.9953,134043,-61176.11,1,147343.2,-24.53157,5.68E-10,-0.0034698,5,,
35,51,315.5048,140159,-68545.47,1,156022.5,-26.06118,5.91E-10,-0.0034631,5,,
36,52,252.4038,146564.3,-77236.04,1,165669.9,-27.7882,4.33E-10,-0.0034677,5,,
37,53,198.6229,154206.4,-88088.23,1,177592.6,-29.73657,8.51E-11,-0.0034608,5,,
38,55,158.3615,163123.3,-100766.8,1,191737.2,-31.70502,1.99E-10,-0.0034615,5,,
39,56,125.558,172791.5,-116372.1,1,208325.1,-33.95958,3.28E-10,-0.0034628,5,,
40,57,100.4464,184135.5,-133451.8,1,227409.9,-35.93264,1.36E-10,-0.0034723,5,,
41,59,79.00281,198019.7,-153268.4,1,250405.7,-37.74007,1.52E-10,-0.0034681,5,,
42,61,63.3446,200368,-176354.1,1,266923.4,-41.35266,-3.25E-11,-0.0034746,5,,
43,62,49.86702,233045,-205208.2,1,310516.3,-41.3656,4.98E-11,-0.0034738,5,,
44,64,39.72458,255446.9,-240558.5,1,350886.7,-43.28069,-4.96E-11,-0.0034725,5,,
45,65,31.6723,275600.3,-275713.3,1,389837.5,-45.01174,4.03E-10,-0.0034709,5,,
46,66,24.93351,307447,-317533.3,1,441985.4,-45.92459,2.20E-10,-0.0034762,5,,
47,68,19.86229,338547.5,-366058.6,1,498611.3,-47.23596,3.12E-10,-0.003469,5,,
48,69,15.83615,370185.4,-416137.9,1,556963.2,-48.34455,5.12E-10,-0.0034689,5,,
49,70,12.40079,420858.2,-495722.3,1,650278.6,-49.66941,2.26E-11,-0.0034656,5,,
50,72,9.93114,466781.5,-573563.3,1,739499.8,-50.86036,7.60E-10,-0.0034685,6,,
51,74,7.944915,510586.8,-658992.3,1,833648.4,-52.2315,4.97E-10,-0.0034656,6,,
52,76,6.317385,578096.4,-771877.3,1,964360,-53.16867,5.87E-10,-0.0034565,6,,
53,78,5.008013,656205.4,-901264.9,1,1114847,-53.94187,2.08E-10,-0.0034585,5,,
54,81,3.945707,749048.8,-1055025,1,1293890,-54.62592,5.62E-11,-0.0034757,4,,
55,83,3.158693,855048.2,-1219143,1,1489100,-54.95604,9.27E-11,-0.003482,4,,
56,87,2.504006,978682,-1421751,1,1726034,-55.45787,1.68E-10,-0.0034618,4,,
57,89,1.998082,1124649,-1644841,1,1992571,-55.63791,1.54E-10,-0.0034319,4,,
58,92,1.584686,1295277,-1902115,1,2301257,-55.74644,1.22E-10,-0.0035012,4,,
59,96,1.266892,1489429,-2197847,1,2654982,-55.87543,1.40E-10,-0.0034457,4,,
60,100,0.999041,1730953,-2552317,1,3083913,-55.85532,5.39E-11,-0.0035043,4,,
Pt,Time,Freq,Zreal,Zimag,Zsig,Zmod,Zphz,Idc,Vdc,IERange,,A1-E15
#,s,Hz,ohm,ohm,V,ohm,°,A,V,#,,
0,2,1000078,1824.111,-3529.796,1,3973.266,-62.6712,2.60E-07,0.0267164,8,,
1,3,794390.6,2151.332,-4078.041,1,4610.71,-62.18653,6.43E-08,0.0264629,8,,
2,4,630984.4,2470.943,-4774.93,1,5376.385,-62.63922,3.65E-06,0.025727,8,,
